Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
The Quayside,海濱匯,"77 Hoi Bun Road, Kwun Tong, Hong Kong",KLN - Kwun Tong,Commercial,The Link Properties Limited & Nan Fung Development Limited,"Chow Kwan Nga, Christy",NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/94,
The Quayside,海濱匯,"The Quayside, 77 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Commercial,Century Land Investment Limited,Mr Jonathan Lee Man Kwong,EB V2.0 Comp. A,Registered,2024,Valid,,,
The Queens,尚瓏,"160 Queen’s Road West, Hong Kong",HK - Central & Western,Residential,Rich Capital Investment Limited & Full Leader Development Limited,CHOI Lok Tin,NB V1.2,Final Unclassified,2023,Valid,PAU0053/20,,
The Quinn．Square Mile,利奧坊．壹隅,No. 5 Sham Mong Road,KLN - Yau Tsim Mong,Residential,Asia Turbo Development Limited,"MAK Kei Choi, Henry",NB V1.2,Provisional Silver,2022,Valid,PAS0040/22; REG0007/21,,
The Rays,瀝洋,"The Rays, No. 71 Hung To Road, Kwun Tong, Kowloon, K.T.I.L 81",KLN - Kwun Tong,Commercial,Alfa Kingdom Limited,Wong Man Sze,NB V1.1,Final Bronze,2015,Expired,,,
"The Redevelopment of the Factory for the Blind at 19 Mok Cheong Street, Tokwawan, Kowloon",,"19 Mok Cheong Street, Tokwawan, Kowloon",KLN - Kowloon City,Others,The Hong Kong Society for the Blind,"Ir Tam Yuen Kwong, Nelson",NB V2.0,Registered,2023,Valid,,,
The Regent,天鑽,"8 Shan Tong Road, Tai Po, New Territories, Hong Kong",NT - Tai Po,Residential,Asia Metro Investment Limited,Ip Wai Hang,NB V1.2,Final Unclassified,2023,Valid,PAU0041/19,,
"The Residential Care Home for the Elderly, Day Care Centre for the Elderly, Special Child Care Centre and Youth Hostel at Yuen Long",元朗安老院、長者日間照顧中心、特殊幼兒中心及青年旅舍,Junction of Castle Peak Road – Yuen Long and Yau Tin East Road,NT - Yuen Long,Residential,Hong Kong Sheng Kung Hui Welfare Council Limited,Mr. LO Lam,NB V2.0,Registered,2024,Valid,,,
"The Residential Redevelopment at 18 Tung Yuen Street, Yau Tong, Kowloon, Hong Kong",N/A,"18 Tung Yuen Street, Yau Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Residential,Global Glory Development and Property Limited,SZETO Chun Tak,NB V1.2,Registered,2020,Valid,,,
THE RICHMOND,N/A,"62C Robinson Road, Hong Kong",HK - Central & Western,Residential,Scanbright Investment Limited,"KWOK May Han, Grace",NB V1.2,Final Bronze,2024,Valid,PAB0036/20; FAB0014/24,,
The Royale,帝御,"8 Castle Peak Road – Castle Peak Bay, Tuen Mun, New Territories, Hong Kong",NT - Tuen Mun,Residential,Win Standard Enterprises Limited,JIANG Wei,NB V1.2,Final Silver,2023,Valid,PAS0033/20; PAS0030/20; PAS0027/20; FAS0020/23; FAS0021/23; FAS0022/23,,
The Salvation Army Centaline Charity Fund Queen's Hill School,救世軍中原慈善基金皇后山學校,"2 Lung Chun Road, Fanling, N.T., Hong Kong",NT - North,Government Institutional and Community,Education Bureau,Lai Shing Leong,NB V1.2,Final Gold,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/206,
The Salvation Army Lam Butt Chung Memorial School,救世軍林拔中紀念學校,"8 Yat Tung Street, Yat Tung Estate, Tung Chung, Lantau Island, New Territories",NT - Islands,Aided,The Salvation Army Lam Butt Chung Memorial School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
The Spectra,朗屏8號,"Yuen Long Town Lot No. 513, Yuen Long, N.T",NT - Yuen Long,Residential,United Best Hong Kong Limited,"Chan Ka Yee, Zoe",NB V1.1,Final Gold,2018,Expired,FAG0002/18; PAG0015/15,https://greenbuilding.hkgbc.org.hk/projects/view/153,
The Staunton Suites,昇寓,22 Staunton Street,HK - Central & Western,Mixed Use,King Century Limited & Jade Line Limited,"KWOK May Han, Grace",NB V1.1,Final Bronze,2018,Expired,PAU0015/17,,
The Stellar,星寓,"68 Chun Yeung Street, North Point",HK - Eastern,Hotel,Realty Asset Limited,SZETO Chun Tak,NB V1.2,Final Gold,2024,Valid,,,
The Symphonie,映岸,"270-286 Tung Chau Street and 1-5 Kweilin Street, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Residential,World Fame Shipping Limited,"KWOK May Han, Grace",NB V1.2,Provisional Gold,2019,Valid,,,
The Three-Runway System of Hong Kong International Airport – Terminal 2 Expansion,香港國際機場三跑道系統 - 擴建二號客運大樓,"Terminal 2, Hong Kong International Airport, Chek Lap Kok, Lantau, Hong Kong",NT - Islands,Others,Airport Authority,Cheung Wai Tong,NB V1.2,Provisional Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/239,
The Unit,,"17 Yik Yam Street, Happy Valley, Hong Kong",HK - Wan Chai,Mixed Use,Parkmost Limited,LI Siu Ming,NB V1.2,Final Unclassified,2019,Expired,,,
The University of Hong Kong - High West Development,香港大學西高山發展項目,"No. 142 Pok Fu Lam Road, Pok FU Lam, Hong Kong",HK - Central & Western,Residential,The University of Hong Kong,Kaixin Xu,NB V1.2,Provisional Platinum,2022,Valid,,,
"The University of Hong Kong, Senior Staff Quarters, Pine Court Block 1",香港大學高級職員宿舍松蔭園譚李麗芬樓,"Block 1, Pine Court, 23 Sha Wan Drive, Hong Kong",HK - Central & Western,Residential,The University of Hong Kong,Rumen Yordanov,EB V2.0 Comp. A,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/244,
The Upper South,逸南,"No. 71 Main Street, Ap Lei Chau, Hong Kong",HK - Southern,Residential,Wealth Full Investment Limited,"KWOK May Han, Grace",NB V1.2,Final Silver,2024,Valid,PAS0031/20,,
The Urban Edition,晞品,"8 Mui Hing Street, Happy Valley, Hong Kong",HK - Wan Chai,Residential,Greenhill Group Holdings Limited,SZE Wing Hong Timothy,NB V1.1,Provisional Bronze,2016,Expired,,,
The Vantage,啟岸,63 Ma Tau Wai Road,KLN - Kowloon City,Residential,Million Mate Limited,FAN Hok Man,NB V1.1,Final Bronze,2023,Valid,PAB0028/18,,
THE VERTEX,恒大．睿峰,"Nos. 27-29 Tonkin Street, Cheung Sha Wan, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,Twin City Holdings Limited,"KWOK May Han, Grace",NB V1.2,Final Gold,2025,Valid,PAG0067/19,,
The VIM,佳悅,"Nos. 223-225A Hai Tan Street, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,Grand Creation Development Limited,Ir Tam Yuen Kwong Nelson,NB V1.2,Provisional Unclassified,2022,Valid,PAU0072/22,,
The VISION,雲訊廣場,"No. 41 King Yip Street, Kwun Tong, Kowloon",KLN - Kwun Tong,Commercial,Uni Trinity Development Limited,Hing Kwok LI,NB V1.2,Final Unclassified,2023,Valid,PAU0075/22,,
The Visionary,昇薈,"1 Ying Hong Street, Tung Chung",NT - Islands,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2021,Valid,,,
The Visionary,昇薈,"Towers 1-3, 5-10 & Houses 1-3, 6-8: 1 Ying Hong Street
Duplex 1: 5 Ying Tung Road, Duplex 2: 3 Ying Tung Road, Duplex 3: 1 Ying Tung Road",NT - Islands,Residential,Nan Fung Development Limited and Poly (Hong Kong) Holdings Limited,Conn YUEN,NB V1.1,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/17,
The Visionary (2024),昇薈,"1-5 Ying Hong Street, Tung Chung",NT - Islands,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,,
The Whampoa,黃埔天地,"Whampoa Garden, Hunghom",KLN - Kowloon City,Commercial,Hutchison Property Management Company Limited,Hip Shing Leung,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
The Wings IIIA,天晉IIIA,"Tseung Kwan O Lot No. 113, Area 66A, Tseung Kwan O, New Territories",NT - Sai Kung,Residential,Sun Hung Kai Real Estate Agency Limited,LEUNG Chi Fung,NB V1.1,Provisional Silver,2013,Expired,PAS0002/14,,
The Wings IIIB,天晉IIIB,"19 Chi Shin Street, Tseung Kwan O, N.T.",NT - Sai Kung,Residential,Winbox Investment Limited,LEUNG Chi Fung,NB V1.1,Final Silver,2019,Expired,PAS0003/14,,
The Woods,尚林,"Lot No.1282 in DD253, Pak Shek Wo, Sai Kung",NT - Sai Kung,Residential,Stanhope Holdings Limited,LAM Cheuk Fung,NB V1.1,Provisional Unclassified,2012,Expired,,,
The YOHO Hub,,"Yuen Long Station, Yuen Long, New Territories, Hong Kong",NT - Yuen Long,Mixed Use,Success Keep Limited,SZETO Chun Tak,NB V1.2,Provisional Gold,2017,Expired,PAG0089/21,,
The Zutten,迎豐,"50 Ma Tau Kok Road, To Kwa Wan, Kowloon, Hong Kong",KLN - Kowloon City,Residential,Super Fortune Investment Limited,Ms Wing Man Lui,NB V1.1,Final Silver,2022,Valid,PAS0005/15,,
Three Garden Road,花園道三號,"3 Garden Road, Central, Hong Kong",HK - Central & Western,Commercial,Shine Hill Development Limited,"MAK Kei Choi, Henry",EB V2.0 Comp. A,Final Platinum,2022,Valid,,,
Three Pacific Place,太古廣場三座,"1 Queen’s Road East, Hong Kong",HK - Central & Western,Commercial,Swire Properties Limited,Mr. Karl Wong,EB V2.0 Comp. A,Final Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/135,
Three Pacific Place,太古廣場三座,"1 Queen's Road East, Hong Kong",HK - Wan Chai,Commercial,Swire Properties Management Limited,Karl Wong Man Ho,EB V2.0 Comp. A,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/135,
Three Pacific Place Phase 3,,1 Queen's Road East,HK - Central & Western,Commercial,Super Gear Investment Limited,N/A,NB V1.1,Registered,2012,Valid,,,
Thriving Industrial Centre,匯力工業中心,"26-38 Sha Tsui Road, Tsuen Wan",NT - Tsuen Wan,Industrial,Hong Yip Service Company Limited,Au Tat Kay,EB V2.0 Sel. MAN,Good,2022,Valid,,,
Timber House,瑧樺,"No.74 Waterloo Road, KLN, Hong Kong",KLN - Yau Tsim Mong,Mixed Use,To be confirmed,"CHAN Chi Keung, Peter",NB V1.2,Final Gold,2022,Valid,PAG0050/18,,
Time Tower (EU),时间广场 (EU),"No.5 Taizi Road, Nanshan District, Shenzhen",PRC,Commercial,深圳招商房地产有限公司,,EB V2.1,Registered,2024,Valid,,,
Time Tower (MAN),时间广场 (MAN),"No.5 Taizi Road, Nanshan District, Shenzhen",PRC,Commercial,深圳招商房地产有限公司,,EB V2.1,Registered,2024,Valid,,,
Times Tower,時代中心,"928-930 Cheung Sha Wan Road, Kowloon",KLN - Sham Shui Po,Industrial,Hong Yip Service Company Limited,Au Tat Kay,EB V2.0 Sel. MAN,Good,2022,Valid,,,
Tin Chak Shopping Centre,天澤商場,"71, 73, 75 & 77 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",NT - Yuen Long,Commercial,Link Asset Management Limited,N/A,EB V2.0 Sel. EU,Good,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1305,
Tin Chak Shopping Centre,天澤商場,"71, 73, 75 & 77 Tin Shui Road,Tin Shui Wai, Yuen Long,New Territories",NT - Yuen Long,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/312,
Tin Shing Shopping Centre,天盛商場,"3 Tin Ching Street, Tin Shui Wai, Yuen Long, New Territories",NT - Yuen Long,Commercial,Link Asset Management Limited,N/A,EB V2.0 Sel. EU,Good,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1302,
Tin Shing Shopping Centre,天盛商場,"3 Tin Ching Street,Tin Shui Wai,Yuen Long,New Territories",NT - Yuen Long,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/334,
Tin Shui Shopping Centre,天瑞商場,"9 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",NT - Yuen Long,Commercial,Link Asset Management Limited,N/A,EB V2.0 Sel. EU,Good,2022,Valid,,,
Tin Shui Shopping Centre,天瑞商場,"9 Tin Shui Road,Tin Shui Wai,Yuen Long,New Territories",NT - Yuen Long,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/316,
Tin Shui Wai Hospital,天水圍醫院,"11 Tin Tan Street, Tin Shui Wai, New Territories",NT - Yuen Long,Government Institutional and Community,"Architectural Services Department, HKSAR Government","CHAN Chi Keung, Peter",NB V1.2,Final Platinum,2019,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/156,
Tin Yiu Plaza,天耀廣場,"2 Tin Wu Road,Tin Shui Wai,Yuen Long,New Territories",NT - Yuen Long,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/323,
TKO Gateway,TKO Gateway,"2 Sheung Ning Road, Tseung Kwan O, Sai Kung, New Territories",NT - Sai Kung,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/277,
TKO Plaza,將軍澳廣場 (商場),"1 Tong Tak Street, Tseung Kwan O",NT - Sai Kung,Commercial,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/188,
TKO Plaza,將軍澳廣場(商場),"1 Tong Tak Street, Tseung Kwan O",NT - Sai Kung,Commercial,Nan Fung Property Management,"LAM Ngan Tung, Tony",EB V2.0 Sel. EU,Excellent,2023,Valid,,,
TKO Plaza (2024),將軍澳廣場 (商場),"1 Tong Tak Street, Tseung Kwan O",NT - Sai Kung,Commercial,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/188,
TKO Spot,,"2 Tong Ming Street, Tseung Kwan O, Sai Kung, New Territories",NT - Sai Kung,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/282,
TKOTL 39/Q/4-Fukutomi Recycling Plant in Tseung Kwan O,,"Chun Yat Street, Tseung Kwan O Industrial Estate - T.K.O.T.L. 39 s.Q ss.4 & the Ext. thereto",NT - Sai Kung,Industrial,Fukutomi Company Limited,N/A,NB V1.1,Registered,2012,Valid,,,
TML Artist Block of Wan Chai Campus of the Hong Kong Academy for Performing Arts,香港演藝學院灣仔校園TML演藝樓,"1 Gloucester Road, Wan Chai, Hong Kong",HK - Wan Chai,Government Institutional and Community,The Hong Kong Academy for Performing Arts,CHOI Sze Wing,NB V1.1,Final Bronze,2023,Valid,,,
To be confirmed,To be confirmed,"3 Ivy Street, Tai Kok Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Residential,Gain Concept Holdings Limited,"Li, Montgomery Hin Fung",NB V2.0,Registered,2022,Valid,,,
To be confirmed,To be confirmed,"NKIL 6593, Ko Chiu Road, Yau Tong, Kowloon",KLN - Kwun Tong,Residential,ACE Alliance Development Limited,"KWOK May Han, Grace",NB V1.2,Provisional Silver,2021,Valid,PAS0039/21,,
To be confirmed,To be confirmed,"OFF ANDERSON ROAD, KWUN TONG, KOWLOON",NT - Sai Kung,Commercial,Lucky Spring Developments (HK) Limited,,ND V1.0,Bronze,2024,Valid,,,
Tonic Industrial Centre,同力工業中心,"26 Kai Cheung Road, Kowloon Bay",KLN - Kwun Tong,Industrial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Topside Property Development at West Kowloon Station Express Rail Link - KIL 11262,高鐵西九龍總站上蓋綜合發展項目,"Junction of Lin Cheung Road and Austin Road West, Kowloon",KLN - Yau Tsim Mong,Commercial,Century Opal Limited and Max Century (H.K.) Limited,ZHAO Jingwen,NB V2.0,Provisional Platinum,2023,Valid,,,
TOPSIDE RESIDENCES,高臨,"350 & 352 Nathan Road, Kowloon",KLN - Yau Tsim Mong,Mixed Use,Surplus King Centre Limited,Mr Lam Lo,NB V1.2,Provisional Gold,2024,Valid,REG0018/23; PAG0144/23,,
Tower 1001,,1001 King's Road,HK - Eastern,Commercial,Wish Concept Limited,JIANG Wei,NB V1.1,Final Silver,2020,Valid,,,
Tower 535,,535 Jaffe Road,HK - Wan Chai,Commercial,Big Harvest International Limited,"KWOK May Han, Grace",NB V1.1,Final Silver,2018,Expired,,,
Towngas Headquarters,香港中華煤氣有限公司總部,"363 Java Road, North Point, Hong Kong",HK - Eastern,Mixed Use,The Hong Kong and China Gas Company Limited,"KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2021,Valid,,,
"Towngas Headquarters 363 Java Road, North Point, Hong Kong",香港中華煤氣有限公司總部,"363 Java Road, North Point, Hong Kong",HK - Eastern,Industrial,The Hong Kong and China Gas Company Limited,"KWOK May Han, Grace",EB V1.2,Final Platinum,2015,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/59,
TOWNPLACE KENNEDY TOWN,本舍,"97 Belcher's Street, Hong Kong",HK - Central & Western,Residential,Easyway Properties Limited,POON Kim Wan,NB V1.1,Final Bronze,2019,Expired,PAB0017/16,,
TOWNPLACE KENNEDY TOWN,本舍KENNEDY TOWN,"97 Belcher's Street, Kennedy Town",HK - Central & Western,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
TOWNPLACE SOHO,本舍,"18 Caine Road, Central, Hong Kong",HK - Central & Western,Residential,Good Faith Properties Limited,Fredrick Leong,NB V1.1,Final Silver,2021,Valid,,,
TP Tower,東滙,"No. 4 Yin Chong Street, Kowloon",KLN - Yau Tsim Mong,Mixed Use,Power Rich Investment Limited,"Mo Cheung Ying, Eagle",NB V1.2,Final Unclassified,2019,Expired,,,
T-Plus,菁雋,"Tseng Choi Street, Area 4, Tuen Mun, N.T., Lot No.TMTL 499",NT - Tuen Mun,Mixed Use,Champ Success Development Limited,"CHONG Yiu Shing, Annie",NB V1.2,Provisional Unclassified,2016,Expired,PAU0010/16,,
"TPTL 231, Yat Yiu Avenue, Tai Po Kau, New Territories","大埔滘逸遙路, 大埔市地段第231號","TPTL 231, Yat Yiu Avenue, Tai Po Kau, New Territories, Hong Kong",NT - Tai Po,Residential,Maniford Limited,"KWOK May Han, Grace",NB V1.2,Provisional Unclassified,2022,Valid,,,
Trade and Industry Tower,工業貿易大樓,"3 Concorde Road, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,Government Property Agency,Joyce TAI,NB V1.1,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/8,
Transformation of Wan Chai Environmental Resource Centre,灣仔環境資源中心,"221 Queen’s Road East, Wan Chai, Hong Kong",HK - Wan Chai,Institutional,Environmental Protection Department,"Ms. Kwok May Han, Grace",BI V1.0,Registered,2021,Valid,,,
Transit Mail Centre,機場轉口郵件中心,"Transit Mail Centre, Hong Kong International Airport, Chek Lap Kok The R.P. of Chek Lap Lok Lot No.1",NT - Islands,Others,Airport Authority Hong Kong,Curtis Chan Chun Wai,NB V2.0,Provisional Gold,2024,Valid,,,
Transport Department Vehicle Examination Complex,運輸署車輛檢驗綜合大樓,"18 Sai Tso Wan Road, Tsing Yi, New Territories",NT - Kwai Tsing,Government Institutional and Community,"Architectural Services Department, HKSAR Government",LEE Kin Pong Desmond,NB V1.2,Final Platinum,2022,Valid,,,
Treasury Building,庫務大樓,"3 Tonkin Street West, Cheung Sha Wan, Kowloon",KLN - Sham Shui Po,Government Institutional and Community,Government Property Agency,Kaixin Xu,NB V1.2,Final Gold,2023,Valid,,,
Trend Centre,國貿中心,"29-31 Cheung Lee Street, Chai Wan",HK - Eastern,Industrial,Hong Yip Service Company Limited,Au Tat Kay,EB V2.0 Sel. MAN,Good,2022,Valid,,,
Trendy Centre,潮流工貿中心,"682 Castle Peak Road, Lai Chi Kok, Kowloon",KLN - Sham Shui Po,Mixed Use,ARA Asset Management (Prosperity) Limited,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
Tseung Kwan O Global Network Centre,將軍澳環球網絡中心,"3 Chun Cheong Street, Tseung Kwan O Industrial Estate, Tseung Kwan O, New Territories, Hong Kong.",NT - Sai Kung,Commercial,China Mobile International Ltd.,Wong Man Sze,NB V1.2,Final Unclassified,2015,Expired,,,
Tseung Kwan O Government Offices,將軍澳政府合署,"30, Tong Yin Street, Tseung Kwan O, Sai Kung, NT",NT - Sai Kung,Government Institutional and Community,Government of the Hong Kong Special Administrative Region/ Architectural Services Department,"CHAN Chi Keung, Peter",NB V1.2,Provisional Platinum,2024,Valid,,,
Tseung Kwan O Plaza (Residential),將軍澳廣場 (住宅),"1 Tong Tak Street, Tseung Kwan O",NT - Sai Kung,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
Tsim Sha Tsui Centre,尖沙咀中心,"66 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Murdoch Investments Inc.,"Ir. Mo Cheung Ying, Eagle",EB V2.0 Comp. A,Final Platinum,2020,Valid,,,
Tsing Yi Shopping Centre,青衣商場,"No. 10 Fung Shue Wo Road, Tsing Yi, New Territories",NT - Kwai Tsing,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1407,
Tsing Yi Southwest Sports Centre,青衣西南體育館,"Chung Mei Road, Tsing Yi",NT - Kwai Tsing,Government Institutional and Community,"Leisure and Cultural Services Department, HKSAR Government",Tsang Hon Wai,NB V1.1,Final Gold,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/238,
Tsing Yi Square,青怡薈,"Tsing Yi Garden, 7-19 Tsing Luk Street, Tsing Yi, New Territories",NT - Kwai Tsing,Commercial,ARA ASSET MANAGEMENT (FORTUNE) LIMITED,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
Tsuen Fung Centre,荃豐中心,"144/172 Castle Peak Road, Tsuen Wan",NT - Tsuen Wan,Mixed Use,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/199,
